物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
セントラルクリブ六本木,東京都港区六本木２,東京メトロ南北線/六本木一丁目駅 歩3分 東京メトロ銀座線/溜池山王駅 歩6分 東京メトロ日比谷線/六本木駅 歩8分,築18年,9階,18.2万円,13000円,1LDK,38.88m2
ウィルテラス勝どき,東京都中央区勝どき２,都営大江戸線/勝どき駅 歩1分 東京メトロ有楽町線/月島駅 歩6分 東京メトロ日比谷線/築地駅 歩18分,築17年,11階,17万円,10000円,1LDK,40.64m2
クールブラン高輪,東京都港区高輪２,都営三田線/白金高輪駅 歩5分 ＪＲ山手線/高輪ゲートウェイ駅 歩10分 都営浅草線/泉岳寺駅 歩6分,築3年,1階,26.8万円,0円,1LDK,45.99m2
ハイツ小山,東京都品川区小山２,東急目黒線/武蔵小山駅 歩6分 東急目黒線/不動前駅 歩8分 東急池上線/戸越銀座駅 歩10分,築45年,5階,10万円,3000円,2K,33.05m2
フジハイツ錦糸町,東京都墨田区亀沢４,ＪＲ総武線/錦糸町駅 歩10分 都営大江戸線/両国駅 歩10分 東京メトロ半蔵門線/錦糸町駅 歩8分,築47年,5階,12万円,0円,2DK,44.84m2
グリーンレジデンス赤坂,東京都港区赤坂７,東京メトロ銀座線/青山一丁目駅 歩10分 東京メトロ千代田線/乃木坂駅 歩8分 東京メトロ千代田線/赤坂駅 歩10分,築1年,2階,30.9万円,20000円,2LDK,52.96m2
ヴェルデフォレスタ代々木公園,東京都渋谷区代々木５,小田急線/代々木八幡駅 歩4分 東京メトロ千代田線/代々木公園駅 歩4分 小田急線/参宮橋駅 歩10分,築2年,4階,22.6万円,8000円,1LDK,40.19m2
グランティアラ武蔵小山,東京都品川区小山４,東急目黒線/武蔵小山駅 歩4分 東急池上線/戸越銀座駅 歩15分 東急目黒線/西小山駅 歩8分,築18年,5階,18.5万円,10000円,1LDK,48.21m2
ロータス武蔵小山II,東京都目黒区目黒本町５,東急目黒線/武蔵小山駅 歩3分 東急目黒線/西小山駅 歩9分 東急池上線/戸越銀座駅 歩20分,築6年,4階,12.7万円,5000円,1LDK,29.23m2
ジーベック中延,東京都品川区戸越６,都営浅草線/中延駅 歩4分 東急池上線/荏原中延駅 歩9分 東急大井町線/戸越公園駅 歩6分,築16年,2階,6.8万円,15000円,1K,21.51m2
カーサスプレンディッド虎ノ門新橋,東京都港区新橋６,都営三田線/御成門駅 歩6分 ＪＲ山手線/新橋駅 歩8分 都営大江戸線/汐留駅 歩8分,築8年,13階,31万円,20000円,2DK,52m2
明石町ツインクロス,東京都中央区明石町,東京メトロ有楽町線/新富町駅 歩1分 東京メトロ日比谷線/築地駅 歩3分 ＪＲ京葉線/八丁堀駅 歩10分,築40年,5階,12.5万円,10000円,2K,37.23m2
Mトリアノン,東京都渋谷区恵比寿南３,東京メトロ日比谷線/恵比寿駅 歩4分 東急東横線/代官山駅 歩4分 ＪＲ山手線/渋谷駅 歩19分,新築,2階,22.8万円,15000円,1LDK,44.31m2
パークホームズ文京小石川ヒルテラス,東京都文京区小石川２,東京メトロ丸ノ内線/後楽園駅 歩3分 都営三田線/春日駅 歩3分 ＪＲ中央線/水道橋駅 歩15分,築1年,2階,18.8万円,10000円,1LDK,37.45m2
明石町ツインクロス,東京都中央区明石町,東京メトロ有楽町線/新富町駅 歩1分 東京メトロ日比谷線/築地駅 歩3分 ＪＲ京葉線/八丁堀駅 歩10分,築40年,5階,12.5万円,10000円,2K,37.23m2
小崎マンション,東京都品川区荏原７,東急目黒線/西小山駅 歩9分 東急目黒線/洗足駅 歩9分 東急大井町線/旗の台駅 歩8分,築36年,3階,13.2万円,0円,1LDK,41m2
ホワイトゴールド祐天寺,東京都目黒区五本木２,東急東横線/祐天寺駅 歩6分 東急東横線/学芸大学駅 歩10分 東急田園都市線/池尻大橋駅 歩23分,築17年,B1階,18.8万円,7000円,1LDK,42.84m2
リビオ神楽坂,東京都新宿区北山伏町,都営大江戸線/牛込柳町駅 歩6分 東京メトロ東西線/神楽坂駅 歩10分 東京メトロ有楽町線/市ケ谷駅 歩19分,築5年,1階,24.5万円,10000円,2LDK,60.52m2
アトラス青山レジデンシャル,東京都渋谷区渋谷２,ＪＲ山手線/渋谷駅 歩8分 東京メトロ半蔵門線/表参道駅 歩9分 東京メトロ副都心線/明治神宮前駅 歩20分,新築,4階,36.8万円,20000円,2LDK,55.2m2
リバーシティ21イーストタワーズ10棟,東京都中央区佃２,東京メトロ有楽町線/月島駅 歩5分 ＪＲ京葉線/八丁堀駅 歩15分 東京メトロ東西線/門前仲町駅 歩15分,築33年,7階,17.5万円,10000円,1LDK,37.08m2
K&MハイツIV,東京都品川区戸越３,都営浅草線/戸越駅 歩4分 東急池上線/戸越銀座駅 歩8分 ＪＲ山手線/大崎駅 歩21分,築15年,3階,15万円,3000円,2DK,47m2
グランデイ芝公園,東京都港区芝公園２,都営三田線/芝公園駅 歩3分 都営浅草線/大門駅 歩4分 ＪＲ山手線/浜松町駅 歩8分,築2年,7階,23万円,10000円,1LDK,42.3m2
都営浅草線 中延駅 2階建 築17年,東京都品川区豊町６,都営浅草線/中延駅 歩3分 東急大井町線/戸越公園駅 歩8分 ＪＲ横須賀線/西大井駅 歩10分,築17年,1階,9.1万円,3000円,1K,27.5m2
デュオフラッツ飯田橋WEST,東京都文京区水道１,ＪＲ中央線/飯田橋駅 歩10分 東京メトロ丸ノ内線/後楽園駅 歩10分 東京メトロ有楽町線/江戸川橋駅 歩12分,築3年,6階,15.8万円,10000円,1LDK,30.32m2
ハイネス文京本駒込,東京都文京区本駒込２,東京メトロ南北線/本駒込駅 歩6分 ＪＲ山手線/駒込駅 歩12分 都営三田線/千石駅 歩8分,築42年,5階,14万円,10000円,1LDK,43.45m2
ウェルスクエア武蔵小山,東京都品川区荏原４,東急目黒線/武蔵小山駅 歩7分 東急目黒線/西小山駅 歩11分 東急池上線/戸越銀座駅 歩13分,新築,1階,14.2万円,8000円,1LDK,32.66m2
KDXレジデンス芝公園,東京都港区芝３,都営三田線/芝公園駅 歩2分 ＪＲ山手線/田町駅 歩10分 都営三田線/三田駅 歩6分,築19年,4階,17.5万円,10000円,1LDK,40.84m2
都営三田線 芝公園駅 13階建 築19年,東京都港区芝３,都営三田線/芝公園駅 歩2分 都営大江戸線/赤羽橋駅 歩8分 ＪＲ山手線/田町駅 歩10分,築19年,9階,17.7万円,10000円,1LDK,39.43m2
パークアクシス本所・親水公園,東京都墨田区本所４,東武伊勢崎線/とうきょうスカイツリー駅 歩10分 都営浅草線/本所吾妻橋駅 歩9分 東京メトロ半蔵門線/押上駅 歩13分,築3年,2階,16.3万円,15000円,1LDK,41.08m2
Brilliant 旗の台,東京都大田区北千束２,東急大井町線/北千束駅 歩5分 東急池上線/長原駅 歩7分 東急目黒線/洗足駅 歩8分,築3年,3階,14.1万円,10000円,1LDK,37.44m2
オルタナ神楽坂2,東京都新宿区西五軒町,東京メトロ東西線/神楽坂駅 歩5分 東京メトロ有楽町線/江戸川橋駅 歩8分 都営大江戸線/牛込神楽坂駅 歩8分,築6年,4階,20.7万円,15000円,1LDK,40.1m2
マイタワーレジデンス,東京都渋谷区代々木１,ＪＲ山手線/代々木駅 歩4分 ＪＲ山手線/新宿駅 歩9分 小田急線/南新宿駅 歩3分,築17年,17階,22.3万円,12000円,1LDK,39.1m2
ジェノヴィア鵜の木,東京都大田区鵜の木３,東急多摩川線/鵜の木駅 歩5分 東急多摩川線/沼部駅 歩10分 東急池上線/久が原駅 歩10分,新築,2階,14.3万円,20000円,1LDK,35.25m2
ルーブル中延弐番館,東京都品川区中延６,都営浅草線/中延駅 歩4分 東急大井町線/荏原町駅 歩4分 都営浅草線/馬込駅 歩9分,築19年,1階,7万円,12000円,1K,20.07m2
都営浅草線 中延駅 7階建 築19年,東京都品川区中延６,都営浅草線/中延駅 歩4分 東急大井町線/荏原町駅 歩4分 都営浅草線/馬込駅 歩9分,築19年,1階,7万円,12000円,1K,20.07m2
グラントレゾール明大前,東京都世田谷区松原１,京王井の頭線/明大前駅 歩5分 京王線/明大前駅 歩7分 京王井の頭線/東松原駅 歩7分,築16年,1階,12.3万円,15000円,1LDK,40.59m2
神楽坂南町ハウス,東京都新宿区南町,都営大江戸線/牛込神楽坂駅 歩4分 ＪＲ中央線/飯田橋駅 歩10分 東京メトロ東西線/神楽坂駅 歩10分,築14年,1階,19.5万円,10000円,1LDK,47.55m2
プライムアーバン両国,東京都墨田区亀沢１,都営大江戸線/両国駅 歩3分 ＪＲ総武線/浅草橋駅 歩22分 都営浅草線/浅草駅 歩20分,築3年,7階,21.9万円,15000円,1SLDK,50.03m2
モメント汐留,東京都港区東新橋２,都営大江戸線/汐留駅 歩3分 ＪＲ山手線/浜松町駅 歩10分 ＪＲ京浜東北線/新橋駅 歩6分,築13年,22階,25万円,20000円,1LDK,55.6m2
カスタリア原宿,東京都渋谷区千駄ヶ谷３,ＪＲ山手線/原宿駅 歩7分 東京メトロ千代田線/明治神宮前駅 歩7分 東京メトロ副都心線/北参道駅 歩7分,築24年,2階,21.4万円,10000円,1LDK,53.76m2
パークアクシス赤坂山王,東京都港区赤坂２,東京メトロ千代田線/赤坂駅 歩3分 東京メトロ銀座線/溜池山王駅 歩4分 東京メトロ丸ノ内線/赤坂見附駅 歩7分,築3年,2階,17.2万円,12000円,1DK,31.37m2
レジディア芝大門II,東京都港区芝大門１,都営三田線/御成門駅 歩2分 都営浅草線/大門駅 歩6分 ＪＲ山手線/浜松町駅 歩10分,築18年,3階,19.5万円,15000円,1LDK,41.43m2
ホライズンプレイス赤坂,東京都港区赤坂６,東京メトロ千代田線/赤坂駅 歩6分 東京メトロ南北線/六本木一丁目駅 歩7分 東京メトロ銀座線/溜池山王駅 歩7分,築16年,3階,33.5万円,15000円,1LDK,61.08m2
MFPRコート赤坂見附,東京都港区赤坂４,東京メトロ丸ノ内線/赤坂見附駅 歩5分 東京メトロ千代田線/赤坂駅 歩7分 東京メトロ有楽町線/永田町駅 歩7分,築18年,9階,21.5万円,15000円,1LDK,41.53m2
ルフレプレミアム押上イースト,東京都墨田区立花４,東武亀戸線/小村井駅 歩1分 京成押上線/京成曳舟駅 歩15分 東武亀戸線/東あずま駅 歩7分,築3年,3階,11.8万円,7000円,1DK,35.07m2
エルフォルテ品川フェリス,東京都品川区南品川６,ＪＲ京浜東北線/大井町駅 歩8分 京急本線/青物横丁駅 歩9分 ＪＲ山手線/大崎駅 歩16分,築5年,8階,17万円,20000円,1LDK,42.51m2
MFPRコート目黒南,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩7分 東急目黒線/不動前駅 歩12分 ＪＲ山手線/五反田駅 歩19分,築16年,4階,20.5万円,15000円,1LDK,46.37m2
カーサビューノアマノ,東京都大田区蒲田１,ＪＲ京浜東北線/蒲田駅 歩8分 京急本線/京急川崎駅 歩9分 京急本線/梅屋敷駅 歩10分,築4年,2階,13.1万円,4000円,1LDK,37.89m2
ＣＡＳＳＩＡ錦糸町Ｓｏｕｔｈ　Ｃｏｕｒｔ,東京都墨田区江東橋１,ＪＲ総武線/錦糸町駅 歩9分 東京メトロ半蔵門線/住吉駅 歩11分 都営新宿線/菊川駅 歩13分,築18年,5階,15.3万円,10000円,1LDK,47.12m2
ＪＲ総武線 錦糸町駅 10階建 築18年,東京都墨田区江東橋１,ＪＲ総武線/錦糸町駅 歩9分 東京メトロ半蔵門線/住吉駅 歩11分 都営新宿線/菊川駅 歩13分,築18年,5階,15.3万円,10000円,1LDK,47.12m2
スタジオデン洗足,東京都大田区北千束２,東急大井町線/北千束駅 歩4分 東急池上線/長原駅 歩7分 東急目黒線/洗足駅 歩8分,築15年,2階,12.5万円,10000円,1LDK,32.25m2
Paseo白山,東京都文京区白山２,都営三田線/白山駅 歩10分 都営大江戸線/春日駅 歩10分 東京メトロ丸ノ内線/後楽園駅 歩8分,築4年,1階,7.98万円,15000円,ワンルーム,20.02m2
デュオフラッツ芝公園,東京都港区芝３,都営三田線/芝公園駅 歩4分 都営大江戸線/赤羽橋駅 歩4分 都営浅草線/三田駅 歩9分,築7年,11階,28.6万円,10000円,1LDK,52.44m2
マルラニ千駄ヶ谷,東京都渋谷区千駄ヶ谷１,ＪＲ中央線/千駄ケ谷駅 歩4分 東京メトロ副都心線/北参道駅 歩5分 都営大江戸線/国立競技場駅 歩5分,築9年,5階,27万円,12000円,1LDK,49.32m2
RESIDENCE KOENJI,東京都杉並区高円寺北４,ＪＲ中央線/高円寺駅 歩8分 ＪＲ総武線/阿佐ケ谷駅 歩11分 西武新宿線/都立家政駅 歩28分,築1年,3階,12.5万円,10000円,1DK,26.35m2
ザ・パークハウス小石川後楽園,東京都文京区小石川２,東京メトロ丸ノ内線/後楽園駅 歩1分 都営三田線/春日駅 歩2分 都営大江戸線/本郷三丁目駅 歩13分,築12年,3階,17.7万円,15000円,1LDK,40.2m2
パークアクシス月島マチュアスタイル,東京都中央区月島１,東京メトロ有楽町線/月島駅 歩1分 都営大江戸線/月島駅 歩1分 ＪＲ京葉線/越中島駅 歩13分,築9年,8階,24.3万円,0円,1LDK,49.1m2
笹沼ビル,東京都文京区白山２,都営三田線/白山駅 歩10分 東京メトロ丸ノ内線/茗荷谷駅 歩14分 東京メトロ南北線/東大前駅 歩23分,築29年,3階,21.5万円,2000円,3LDK,87.21m2
ＰＡＳＥＯ下北沢,東京都世田谷区北沢１,小田急線/下北沢駅 歩6分 小田急線/東北沢駅 歩10分 京王井の頭線/池ノ上駅 歩5分,築7年,3階,19.3万円,12000円,1LDK,40.85m2
ワイズパティオ,東京都新宿区余丁町,都営大江戸線/若松河田駅 歩7分 東京メトロ副都心線/東新宿駅 歩9分 都営新宿線/曙橋駅 歩9分,築7年,1階,15.2万円,10000円,1LDK,38.42m2
ファヴール本郷,東京都文京区本郷２,東京メトロ丸ノ内線/本郷三丁目駅 歩1分 都営三田線/水道橋駅 歩9分 都営大江戸線/春日駅 歩11分,新築,2階,16.5万円,8300円,1LDK,35.03m2
朝日九段マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩2分 ＪＲ中央線/飯田橋駅 歩7分 東京メトロ半蔵門線/神保町駅 歩9分,築46年,11階,16万円,8000円,2DK,43m2
ガリシア旗の台,東京都大田区北馬込１,東急大井町線/荏原町駅 歩6分 東急大井町線/旗の台駅 歩10分 都営浅草線/馬込駅 歩10分,新築,2階,19.4万円,15000円,1LDK,40.77m2
パークリュクス渋谷北参道モノ,東京都渋谷区千駄ヶ谷４,東京メトロ副都心線/北参道駅 歩1分 ＪＲ山手線/代々木駅 歩7分 ＪＲ中央線/千駄ケ谷駅 歩10分,築10年,13階,14.5万円,8000円,2K,30.06m2
カスタリア芝公園,東京都港区芝３,都営三田線/芝公園駅 歩4分 都営浅草線/三田駅 歩4分 ＪＲ山手線/田町駅 歩9分,築20年,10階,24.5万円,8000円,1LDK,43.34m2
サンコーレジデンス千駄ヶ谷,東京都渋谷区千駄ヶ谷３,東京メトロ副都心線/北参道駅 歩3分 ＪＲ中央線/千駄ケ谷駅 歩9分 ＪＲ山手線/代々木駅 歩10分,築17年,3階,22.4万円,12000円,1LDK,46.38m2
シティハウス東京新橋,東京都港区新橋６,都営三田線/御成門駅 歩3分 都営大江戸線/大門駅 歩8分 ＪＲ山手線/浜松町駅 歩13分,築20年,8階,14.9万円,10000円,1DK,31.39m2
パークアクシス赤坂見附,東京都港区赤坂３,東京メトロ丸ノ内線/赤坂見附駅 歩3分 東京メトロ千代田線/赤坂駅 歩4分 東京メトロ有楽町線/永田町駅 歩5分,築9年,12階,26.9万円,15000円,1LDK,41.26m2
ハイム・グランドヒル自由ケ丘,東京都世田谷区奥沢５,東急東横線/自由が丘駅 歩6分 東急目黒線/奥沢駅 歩6分 東急大井町線/九品仏駅 歩7分,築33年,2階,17.3万円,5000円,2LDK,55.79m2
ハーモニーレジデンス東京ツリー京島,東京都墨田区京島１,京成押上線/京成曳舟駅 歩3分 東武伊勢崎線/曳舟駅 歩5分 東京メトロ半蔵門線/押上駅 歩14分,築3年,2階,8.7万円,15000円,1DK,25.44m2
ＡＴＧ　Ｐａｒｋ　東品川,東京都品川区東品川３,京急本線/新馬場駅 歩10分 りんかい線/天王洲アイル駅 歩9分 京急本線/青物横丁駅 歩13分,築13年,4階,16.6万円,10000円,1LDK,46.08m2
飯田橋サンポーロハイツ,東京都千代田区飯田橋４,ＪＲ中央線/飯田橋駅 歩4分 東京メトロ半蔵門線/九段下駅 歩7分 ＪＲ中央線/水道橋駅 歩8分,築62年,8階,16.2万円,0円,1LDK,39.29m2
オークレスト四谷三栄町,東京都新宿区四谷三栄町,ＪＲ中央線/四ツ谷駅 歩7分 都営新宿線/曙橋駅 歩8分 東京メトロ丸ノ内線/四谷三丁目駅 歩10分,新築,1階,16.8万円,3000円,1LDK,35.4m2
アスティーレ四谷,東京都新宿区四谷本塩町,ＪＲ中央線/四ツ谷駅 歩6分 東京メトロ有楽町線/市ケ谷駅 歩8分 都営新宿線/曙橋駅 歩10分,築3年,2階,18.9万円,20000円,1LDK,38.22m2
アーバンシティ音羽,東京都文京区音羽１,東京メトロ有楽町線/護国寺駅 歩2分 東京メトロ丸ノ内線/茗荷谷駅 歩13分 ＪＲ山手線/大塚駅 歩25分,築23年,7階,16万円,10000円,2LDK,53.33m2
辻村ビル,東京都文京区大塚６,東京メトロ丸ノ内線/新大塚駅 歩5分 ＪＲ山手線/大塚駅 歩10分 東京メトロ有楽町線/東池袋駅 歩9分,築42年,4階,7.3万円,3000円,1DK,32.2m2
クラシアム飯田橋,東京都新宿区新小川町,ＪＲ中央線/飯田橋駅 歩6分 都営大江戸線/牛込神楽坂駅 歩8分 東京メトロ東西線/神楽坂駅 歩9分,築2年,1階,14.2万円,10000円,2K,28.89m2
