物件名,住所,築年数,階数,家賃,管理費,間取り,広さ,敷金,礼金,物件画像URL,物件詳細URL,アクセス1路線,アクセス1駅名,アクセス1徒歩,アクセス2路線,アクセス2駅名,アクセス2徒歩,アクセス3路線,アクセス3駅名,アクセス3徒歩
ドムス・スタイル押上,東京都墨田区横川４,3,3,10.75,10000,2K,26.74,0,0,https://img01.suumo.com/front/gazo/fr/bukken/954/100355370954/100355370954_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000067105183/?bc=100355370954,東京メトロ半蔵門線,押上, 5, ＪＲ総武線,錦糸町, 15, 都営浅草線,本所吾妻橋, 17
ドムス・スタイル押上,東京都墨田区横川４,3,7,13.4,10000,1DK,32.73,0,0,https://img01.suumo.com/front/gazo/fr/bukken/954/100355370954/100355370954_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085827296/?bc=100349390604,東京メトロ半蔵門線,押上, 5, ＪＲ総武線,錦糸町, 15, 都営浅草線,本所吾妻橋, 17
ＱＵＡＬＩＴＡＳ本所吾妻橋,東京都墨田区東駒形４,2,6,18,20000,1LDK,40.4,0,0,https://img01.suumo.com/front/gazo/fr/bukken/208/100342755208/100342755208_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086758113/?bc=100342755208,都営浅草線,本所吾妻橋, 2, 東武伊勢崎線,とうきょうスカイツリー, 9, 東京メトロ銀座線,浅草, 11
ＪＲ中央線 飯田橋駅 10階建 築3年,東京都文京区水道１,3,6,15.8,10000,1LDK,30.32,15.8,15.8,https://img01.suumo.com/front/gazo/fr/bukken/213/100354527213/100354527213_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085944286/?bc=100354527213,ＪＲ中央線,飯田橋, 10, 東京メトロ丸ノ内線,後楽園, 10, 東京メトロ有楽町線,江戸川橋, 12
AXAS錦糸町,東京都墨田区江東橋１,9,8,8.6,11000,1LDK,25.25,8.6,8.6,https://img01.suumo.com/front/gazo/fr/bukken/561/100352422561/100352422561_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086240974/?bc=100352422561,ＪＲ総武線,錦糸町, 8, 東京メトロ半蔵門線,住吉, 12, 都営新宿線,菊川, 13
ＪＲ総武線 錦糸町駅 12階建 築9年,東京都墨田区江東橋１,9,8,8.6,11000,1LDK,25.25,8.6,8.6,https://img01.suumo.com/front/gazo/fr/bukken/512/100352425512/100352425512_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086240975/?bc=100352425512,ＪＲ総武線,錦糸町, 8, 東京メトロ半蔵門線,住吉, 12, 都営新宿線,菊川, 13
東京メトロ有楽町線 江戸川橋駅 12階建 築4年,東京都文京区関口１,4,4,30.5,15000,2LDK,55.46,30.5,30.5,https://img01.suumo.com/front/gazo/fr/bukken/253/100345612253/100345612253_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084679562/?bc=100345612253,東京メトロ有楽町線,江戸川橋, 2, 東京メトロ東西線,神楽坂, 8, 都営大江戸線,牛込神楽坂, 16
シェグランほり川,東京都墨田区太平４,34,6,14.2,7000,2DK,43.92,14.2,14.2,https://img01.suumo.com/front/gazo/fr/bukken/637/100347270637/100347270637_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084951697/?bc=100347270637,東京メトロ半蔵門線,押上, 11, ＪＲ総武線快速,錦糸町, 9, 東京メトロ半蔵門線,錦糸町, 7
ザ・パークハウス茗荷谷,東京都文京区大塚３,11,5,29,32000,2LDK,57.37,58,29,https://img01.suumo.com/front/gazo/fr/bukken/635/100352823635/100352823635_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086153726/?bc=100352823635,東京メトロ丸ノ内線,茗荷谷, 7, 都営三田線,千石, 15, 東京メトロ有楽町線,護国寺, 16
アトラス青山レジデンシャル,東京都渋谷区渋谷２,0,4,36.3,20000,2LDK,55.2,36.3,36.3,https://img01.suumo.com/front/gazo/fr/bukken/703/100355213703/100355213703_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086854158/?bc=100355213703,ＪＲ山手線,渋谷, 8, 東京メトロ半蔵門線,表参道, 9, 東京メトロ副都心線,明治神宮前, 20
アトラス青山レジデンシャル,東京都渋谷区渋谷２,0,12,55,0,3LDK,73.37,55,55,https://img01.suumo.com/front/gazo/fr/bukken/703/100355213703/100355213703_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086423801/?bc=100355213708,ＪＲ山手線,渋谷, 8, 東京メトロ半蔵門線,表参道, 9, 東京メトロ副都心線,明治神宮前, 20
都営浅草線 本所吾妻橋駅 6階建 築20年,東京都墨田区本所４,20,2,11,7000,1LDK,33.91,11,11,https://img01.suumo.com/front/gazo/fr/bukken/245/100356270245/100356270245_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086853720/?bc=100356270245,都営浅草線,本所吾妻橋, 7, 東京メトロ半蔵門線,押上, 14, ,,0
パセオ目黒,東京都目黒区下目黒２,4,4,18.3,12000,2DK,40.75,0,0,https://img01.suumo.com/front/gazo/fr/bukken/355/100354458355/100354458355_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085963153/?bc=100354458355,ＪＲ山手線,目黒, 8, 東急目黒線,不動前, 11, 都営浅草線,五反田, 20
ＪＲ山手線 目黒駅 4階建 築4年,東京都目黒区下目黒２,4,4,18.3,12000,2DK,40.75,0,0,https://img01.suumo.com/front/gazo/fr/bukken/223/100354527223/100354527223_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085963154/?bc=100354527223,ＪＲ山手線,目黒, 8, 東急目黒線,不動前, 10, 東急目黒線,武蔵小山, 21
ＡＲＣＯＢＡＬＥＮＯ ＯＳＨＩＡＧＥ ＥＡＳＴ,東京都墨田区立花５,4,2,8.1,10000,1K,25.73,0,8.1,https://img01.suumo.com/front/gazo/fr/bukken/507/100355312507/100355312507_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086640295/?bc=100355312507,東武亀戸線,小村井, 8, 京成押上線,京成曳舟, 14, 東武伊勢崎線,曳舟, 21
ＡＲＣＯＢＡＬＥＮＯ ＯＳＨＩＡＧＥ ＥＡＳＴ,東京都墨田区立花５,4,1,12.4,15000,1LDK,42.5,0,12.4,https://img01.suumo.com/front/gazo/fr/bukken/507/100355312507/100355312507_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086853706/?bc=100356273199,東武亀戸線,小村井, 8, 京成押上線,京成曳舟, 14, 東武伊勢崎線,曳舟, 21
ジェノヴィア両国3スカイガーデン,東京都墨田区緑３,5,5,21.6,10000,2LDK,51.82,0,0,https://img01.suumo.com/front/gazo/fr/bukken/797/100353623797/100353623797_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086353080/?bc=100353905617,都営新宿線,菊川, 9, ＪＲ総武線,錦糸町, 13, 都営大江戸線,両国, 11
ジェノヴィア両国3スカイガーデン,東京都墨田区緑３,5,7,21.9,10000,2LDK,51.98,0,0,https://img01.suumo.com/front/gazo/fr/bukken/797/100353623797/100353623797_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084329784/?bc=100353623797,都営新宿線,菊川, 9, ＪＲ総武線,錦糸町, 13, 都営大江戸線,両国, 11
東京メトロ千代田線 根津駅 5階建 築5年,東京都文京区根津２,5,2,15.2,8000,1LDK,42.07,0,15.2,https://img01.suumo.com/front/gazo/fr/bukken/598/100353563598/100353563598_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000083164444/?bc=100353563598,東京メトロ千代田線,根津, 1, 東京メトロ南北線,東大前, 10, ＪＲ山手線,上野, 21
ＪＲ山手線 目黒駅 10階建 築16年,東京都目黒区下目黒２,16,4,20.5,15000,1LDK,46.37,20.5,20.5,https://img01.suumo.com/front/gazo/fr/bukken/741/100354657741/100354657741_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085086969/?bc=100354657741,ＪＲ山手線,目黒, 7, 東急目黒線,不動前, 10, 東急池上線,大崎広小路, 22
アルコバレーノ,東京都墨田区立花４,12,5,12.5,10000,1LDK,44.72,0,12.5,https://img01.suumo.com/front/gazo/fr/bukken/714/100352556714/100352556714_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085967914/?bc=100352556714,東武亀戸線,小村井, 4, ＪＲ総武線,平井, 17, 京成押上線,京成曳舟, 18
東京メトロ丸ノ内線 中野富士見町駅 7階建 築11年,東京都杉並区和田１,11,4,27,20000,3LDK,70.51,0,0,https://img01.suumo.com/front/gazo/fr/bukken/972/100346693972/100346693972_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000078867338/?bc=100346693972,東京メトロ丸ノ内線,中野富士見町, 2, 東京メトロ丸ノ内線,新中野, 9, 都営大江戸線,西新宿五丁目, 24
ブランズタワー文京小日向,東京都文京区小日向４,11,12,30,0,2LDK,56.75,60,30,https://img01.suumo.com/front/gazo/fr/bukken/822/100345665822/100345665822_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000082756841/?bc=100345665822,東京メトロ丸ノ内線,茗荷谷, 7, 東京メトロ有楽町線,江戸川橋, 15, 東京メトロ南北線,後楽園, 18
東京メトロ半蔵門線 錦糸町駅 14階建 築5年,東京都墨田区太平３,5,7,12,10000,1DK,26.62,12,0,https://img01.suumo.com/front/gazo/fr/bukken/024/100353639024/100353639024_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000065046803/?bc=100353639024,東京メトロ半蔵門線,錦糸町, 4, ＪＲ総武線,錦糸町, 7, 都営浅草線,本所吾妻橋, 22
東京メトロ半蔵門線 押上駅 7階建 築3年,東京都墨田区横川４,3,3,10.75,10000,2K,26.74,0,0,https://img01.suumo.com/front/gazo/fr/bukken/038/100355371038/100355371038_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000067859040/?bc=100355371038,東京メトロ半蔵門線,押上, 5, ＪＲ総武線,錦糸町, 15, 都営浅草線,本所吾妻橋, 17
ライオンズ東向島ミレス,東京都墨田区東向島４,6,7,12.5,5000,1LDK,33.64,12.5,12.5,https://img01.suumo.com/front/gazo/fr/bukken/166/100350608166/100350608166_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086011909/?bc=100350608166,東武伊勢崎線,東向島, 4, 東武伊勢崎線,曳舟, 11, 京成押上線,京成曳舟, 12
アイフラット両国,東京都墨田区亀沢１,3,10,25.5,10000,2LDK,52.7,0,0,https://img01.suumo.com/front/gazo/fr/bukken/729/100346976729/100346976729_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086059626/?bc=100350952039,都営大江戸線,両国, 4, 都営新宿線,森下, 13, 都営浅草線,蔵前, 18
アイフラット両国,東京都墨田区亀沢１,3,9,25.8,10000,2LDK,57.55,0,0,https://img01.suumo.com/front/gazo/fr/bukken/729/100346976729/100346976729_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085473244/?bc=100346976729,都営大江戸線,両国, 4, 都営新宿線,森下, 13, 都営浅草線,蔵前, 18
東急東横線 都立大学駅 4階建 築3年,東京都目黒区碑文谷３,3,3,21,15000,2LDK,47.05,0,0,https://img01.suumo.com/front/gazo/fr/bukken/571/100347673571/100347673571_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085494156/?bc=100347673571,東急東横線,都立大学, 8, 東急目黒線,大岡山, 14, 東急大井町線,緑が丘, 21
Green way Yakumo,東京都目黒区八雲２,3,B1,15.3,7000,1SLDK,40,15.3,15.3,https://img01.suumo.com/front/gazo/fr/bukken/575/100347859575/100347859575_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000068809999/?bc=100347859575,東急東横線,都立大学, 8, 東急東横線,自由が丘, 15, 東急田園都市線,駒沢大学, バス11 (バス停)八雲高校 5
パークコート千代田富士見ザ タワー,東京都千代田区富士見２,10,29,59.8,0,2SLDK,74.77,119.6,59.8,https://img01.suumo.com/front/gazo/fr/bukken/699/100350000699/100350000699_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085731140/?bc=100350000699,ＪＲ中央線,飯田橋, 3, 東京メトロ東西線,九段下, 11, 都営大江戸線,牛込神楽坂, 12
京急本線 新馬場駅 8階建 築13年,東京都品川区東品川３,13,3,24.8,12000,2LDK,63.72,24.8,24.8,https://img01.suumo.com/front/gazo/fr/bukken/945/100353595945/100353595945_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086387965/?bc=100353595945,京急本線,新馬場, 10, りんかい線,天王洲アイル, 9, 京急本線,青物横丁, 13
東武伊勢崎線 東向島駅 3階建 築8年,東京都墨田区東向島５,8,1,11.3,5000,1LDK,41.72,11.3,11.3,https://img01.suumo.com/front/gazo/fr/bukken/288/100356280288/100356280288_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000036581649/?bc=100356280288,東武伊勢崎線,東向島, 3, 京成押上線,京成曳舟, 11, 京成押上線,八広, 12
日神パレスゼームス坂,東京都品川区南品川４,38,2,12.2,8000,3K,44.71,12.2,0,https://img01.suumo.com/front/gazo/fr/bukken/286/100347855286/100347855286_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084749699/?bc=100347855286,京急本線,新馬場, 6, ＪＲ京浜東北線,大井町, 10, 京急本線,鮫洲, 15
京王線 八幡山駅 7階建 築15年,東京都杉並区上高井戸１,15,4,11.5,6000,1LDK,36.41,11.5,11.5,https://img01.suumo.com/front/gazo/fr/bukken/761/100350461761/100350461761_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086436367/?bc=100350461761,京王線,八幡山, 6, 京王線,芦花公園, 8, 京王井の頭線,高井戸, 14
シーズンフラッツ錦糸町ウエスト,東京都墨田区緑４,2,9,19.5,15000,2LDK,42.13,0,0,https://img01.suumo.com/front/gazo/fr/bukken/517/100349052517/100349052517_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085816864/?bc=100349052517,ＪＲ総武線,錦糸町, 10, 都営新宿線,菊川, 12, 都営大江戸線,両国, 14
フォレンツタワー文京千石,東京都文京区千石３,15,2,17.5,9000,2DK,50.08,0,0,https://img01.suumo.com/front/gazo/fr/bukken/138/100347158138/100347158138_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086292608/?bc=100347158138,都営三田線,千石, 5, ＪＲ山手線,巣鴨, 15, 東京メトロ丸ノ内線,新大塚, 17
レジディア勝どき,東京都中央区勝どき４,16,8,16.5,15000,1LDK,43.51,16.5,16.5,https://img01.suumo.com/front/gazo/fr/bukken/155/100352706155/100352706155_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086304539/?bc=100352706155,都営大江戸線,勝どき, 2, 東京メトロ有楽町線,月島, 12, 東京メトロ日比谷線,築地, 18
東京メトロ丸ノ内線 新高円寺駅 3階建 築21年,東京都杉並区高円寺南２,21,2,12.3,8000,1LDK,38.68,12.3,12.3,https://img01.suumo.com/front/gazo/fr/bukken/577/100336329577/100336329577_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000051516439/?bc=100336329577,東京メトロ丸ノ内線,新高円寺, 5, ＪＲ中央線,高円寺, 11, 東京メトロ丸ノ内線,東高円寺, 10
ラ・ドゥセール東神田,東京都千代田区東神田２,4,11,17,15000,1LDK,41.28,0,0,https://img01.suumo.com/front/gazo/fr/bukken/214/100354018214/100354018214_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086619440/?bc=100354018214,ＪＲ総武線快速,馬喰町, 5, ＪＲ山手線,秋葉原, 11, 東京メトロ日比谷線,小伝馬町, 11
ガリシア錦糸町V,東京都墨田区太平４,1,7,10,13000,ワンルーム,25.48,0,0,https://img01.suumo.com/front/gazo/fr/bukken/880/100312226880/100312226880_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000079666347/?bc=100312226880,東京メトロ半蔵門線,錦糸町, 8, 都営浅草線,押上, 17, ＪＲ総武線,錦糸町, 9
シンシティー錦糸町,東京都墨田区江東橋５,16,5,7.7,10000,1K,22.83,0,7.7,https://img01.suumo.com/front/gazo/fr/bukken/668/100355740668/100355740668_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086771700/?bc=100355740668,ＪＲ総武線快速,錦糸町, 11, 東京メトロ半蔵門線,住吉, 8, 都営新宿線,菊川, 10
江戸川橋ステーションレジデンス,東京都文京区関口１,3,8,25.2,20000,2LDK,51.37,0,0,https://img01.suumo.com/front/gazo/fr/bukken/253/100346853253/100346853253_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085390258/?bc=100346853253,東京メトロ有楽町線,江戸川橋, 3, 東京メトロ東西線,神楽坂, 13, 東京メトロ丸ノ内線,茗荷谷, 21
エルファーロ目黒I,東京都目黒区下目黒２,0,2,15.5,10000,1LDK,29.08,0,0,https://img01.suumo.com/front/gazo/fr/bukken/327/100346379327/100346379327_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085356852/?bc=100346379313,ＪＲ山手線,目黒, 8, 東急目黒線,不動前, 14, ＪＲ山手線,五反田, 20
エルファーロ目黒I,東京都目黒区下目黒２,0,4,20.6,10000,1LDK,41.09,0,0,https://img01.suumo.com/front/gazo/fr/bukken/327/100346379327/100346379327_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085335017/?bc=100346379327,ＪＲ山手線,目黒, 8, 東急目黒線,不動前, 14, ＪＲ山手線,五反田, 20
エルファーロ目黒I,東京都目黒区下目黒２,0,2,21,10000,1LDK,41.09,0,0,https://img01.suumo.com/front/gazo/fr/bukken/327/100346379327/100346379327_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085356854/?bc=100346164127,ＪＲ山手線,目黒, 8, 東急目黒線,不動前, 14, ＪＲ山手線,五反田, 20
ＪＲ山手線 目黒駅 4階建 新築,東京都目黒区下目黒２,0,4,20.6,10000,1LDK,41.09,0,0,https://img01.suumo.com/front/gazo/fr/bukken/424/100346217424/100346217424_pw.jpg,https://bridal.suumo.jp/chintai/jnc_000085356870/?bc=100346217424,ＪＲ山手線,目黒, 8, 東急目黒線,不動前, 9, 東急池上線,大崎広小路, 20
アーバンヒル,東京都墨田区堤通１,34,4,9.3,7000,2DK,42.74,18.6,9.3,https://img01.suumo.com/front/gazo/fr/bukken/605/100347270605/100347270605_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000036880943/?bc=100347270605,東武伊勢崎線,東向島, 8, 東武伊勢崎線,曳舟, 10, 東京メトロ半蔵門線,押上, 22
プラザ勝どき,東京都中央区勝どき１,37,4,18.2,16000,2LDK,61.39,18.2,0,https://img01.suumo.com/front/gazo/fr/bukken/980/100354369980/100354369980_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085643964/?bc=100354369980,都営大江戸線,勝どき, 4, 東京メトロ日比谷線,築地, 14, 東京メトロ有楽町線,月島, 11
エバーグリーンアベニュー,東京都文京区本駒込１,11,2,14.2,5000,1DK,36.09,0,14.2,https://img01.suumo.com/front/gazo/fr/bukken/213/100353171213/100353171213_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086392349/?bc=100353171213,都営三田線,白山, 8, 東京メトロ南北線,本駒込, 6, ＪＲ山手線,駒込, 18
都営三田線 白山駅 4階建 築11年,東京都文京区本駒込１,11,2,14.2,5000,1DK,36.09,0,14.2,https://img01.suumo.com/front/gazo/fr/bukken/907/100353171907/100353171907_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086392350/?bc=100353171907,都営三田線,白山, 8, 東京メトロ南北線,本駒込, 6, ＪＲ山手線,駒込, 18
アルテシモクルブ,東京都目黒区目黒本町３,0,5,16.5,15000,1LDK,35.31,0,0,https://img01.suumo.com/front/gazo/fr/bukken/898/100355131898/100355131898_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086672275/?bc=100355131937,東急目黒線,武蔵小山, 5, 東急目黒線,西小山, 13, 東急池上線,戸越銀座, 22
アルテシモクルブ,東京都目黒区目黒本町３,0,2,18.8,15000,2DK,41.44,0,0,https://img01.suumo.com/front/gazo/fr/bukken/898/100355131898/100355131898_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086672260/?bc=100355131941,東急目黒線,武蔵小山, 5, 東急目黒線,西小山, 13, 東急池上線,戸越銀座, 22
アルテシモクルブ,東京都目黒区目黒本町３,0,2,19.1,15000,2DK,40.13,0,0,https://img01.suumo.com/front/gazo/fr/bukken/898/100355131898/100355131898_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086672259/?bc=100355131945,東急目黒線,武蔵小山, 5, 東急目黒線,西小山, 13, 東急池上線,戸越銀座, 22
アルテシモクルブ,東京都目黒区目黒本町３,0,2,19.3,15000,2DK,40.31,0,0,https://img01.suumo.com/front/gazo/fr/bukken/898/100355131898/100355131898_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086672258/?bc=100355131911,東急目黒線,武蔵小山, 5, 東急目黒線,西小山, 13, 東急池上線,戸越銀座, 22
アルテシモクルブ,東京都目黒区目黒本町３,0,2,20.5,15000,3K,42.94,0,0,https://img01.suumo.com/front/gazo/fr/bukken/898/100355131898/100355131898_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086672262/?bc=100355131906,東急目黒線,武蔵小山, 5, 東急目黒線,西小山, 13, 東急池上線,戸越銀座, 22
アルテシモクルブ,東京都目黒区目黒本町３,0,2,24.5,15000,3K,46.82,0,0,https://img01.suumo.com/front/gazo/fr/bukken/898/100355131898/100355131898_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086672261/?bc=100355131898,東急目黒線,武蔵小山, 5, 東急目黒線,西小山, 13, 東急池上線,戸越銀座, 22
グランドレジデンス学芸大学,東京都目黒区中央町１,3,5,14,10000,1LDK,28.91,14,14,https://img01.suumo.com/front/gazo/fr/bukken/265/100355211265/100355211265_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085764007/?bc=100355211265,東急東横線,学芸大学, 7,  ,,,,,0
グランドレジデンス学芸大学,東京都目黒区中央町１,3,3,17,10000,1LDK,34.26,17,17,https://img01.suumo.com/front/gazo/fr/bukken/265/100355211265/100355211265_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085821768/?bc=100355211367,東急東横線,学芸大学, 7,  ,,,,,0
アソシエール文京白山,東京都文京区白山４,33,3,30.2,12000,3LDK,81,30.2,30.2,https://img01.suumo.com/front/gazo/fr/bukken/826/100342166826/100342166826_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084547880/?bc=100342166826,都営三田線,白山, 6, 東京メトロ南北線,本駒込, 11, 都営大江戸線,春日, 15
瀧澤ハウス,東京都文京区関口１,39,8,19,0,3LDK,74.94,19,19,https://img01.suumo.com/front/gazo/fr/bukken/621/100347706621/100347706621_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085593858/?bc=100347706621,東京メトロ有楽町線,江戸川橋, 3, 東京メトロ東西線,早稲田, 12, 東京メトロ東西線,神楽坂, 13
JLBグランエクリュ初台,東京都渋谷区初台１,6,4,12.5,9000,1LDK,37.05,12.5,0,https://img01.suumo.com/front/gazo/fr/bukken/180/100330943180/100330943180_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084613385/?bc=100330943180,京王新線,初台, 7, 京王新線,幡ヶ谷, 8, 小田急線,代々木八幡, 14
レジス音羽の杜,東京都文京区大塚１,9,B1,13.9,10000,1LDK,43.82,13.9,13.9,https://img01.suumo.com/front/gazo/fr/bukken/679/100347026679/100347026679_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085377001/?bc=100347026679,東京メトロ有楽町線,護国寺, 3, 東京メトロ丸ノ内線,茗荷谷, 11, 東京メトロ有楽町線,江戸川橋, 11
プラウドフラット小石川,東京都文京区小石川５,15,8,15.2,10000,1LDK,37.28,15.2,0,https://img01.suumo.com/front/gazo/fr/bukken/380/100350951380/100350951380_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086037836/?bc=100350951380,東京メトロ丸ノ内線,茗荷谷, 8, 都営三田線,白山, 14, 都営三田線,千石, 19
小宮山ビル,東京都墨田区本所２,34,5,9,5000,2DK,38.53,9,9,https://img01.suumo.com/front/gazo/fr/bukken/345/100354423345/100354423345_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086584044/?bc=100354423345,都営浅草線,本所吾妻橋, 8, 都営浅草線,浅草, 9, 東京メトロ半蔵門線,押上, 17
都営浅草線 本所吾妻橋駅 7階建 築2年,東京都墨田区吾妻橋１,2,5,11.7,12000,1DK,25.43,0,0,https://img01.suumo.com/front/gazo/fr/bukken/994/100350761994/100350761994_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085307323/?bc=100350761994,都営浅草線,本所吾妻橋, 3, 東京メトロ銀座線,浅草, 6, 東京メトロ半蔵門線,押上, 13
ブリヤン駒込,東京都文京区本駒込４,30,8,13.5,6000,3DK,45.75,13.5,13.5,https://img01.suumo.com/front/gazo/fr/bukken/059/100353939059/100353939059_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086278954/?bc=100353939059,ＪＲ山手線,田端, 9, ＪＲ山手線,西日暮里, 12, 東京メトロ千代田線,千駄木, 11
パールハイツ田上,東京都文京区千石１,32,3,12,3000,2LDK,42.92,12,12,https://img01.suumo.com/front/gazo/fr/bukken/502/100353619502/100353619502_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000078575260/?bc=100353619502,都営三田線,千石, 3, ＪＲ山手線,巣鴨, 17, 東京メトロ丸ノ内線,茗荷谷, 17
パークアクシス錦糸町ヴェール,東京都墨田区緑４,8,5,13.6,12000,1LDK,33.92,13.6,13.6,https://img01.suumo.com/front/gazo/fr/bukken/889/100351426889/100351426889_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000069061547/?bc=100351426889,ＪＲ総武線,錦糸町, 11, 都営新宿線,菊川, 9, 都営大江戸線,両国, 12
パークアクシス錦糸町ヴェール,東京都墨田区緑４,8,3,15.9,12000,1LDK,43.45,15.9,15.9,https://img01.suumo.com/front/gazo/fr/bukken/889/100351426889/100351426889_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085797615/?bc=100356012480,ＪＲ総武線,錦糸町, 11, 都営新宿線,菊川, 9, 都営大江戸線,両国, 12
東急東横線 都立大学駅 地下1地上3階建 築27年,東京都目黒区平町１,27,1,46.5,0,3SLDK,130.4,46.5,46.5,https://img01.suumo.com/front/gazo/fr/bukken/419/100337258419/100337258419_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000083888604/?bc=100337258419,東急東横線,都立大学, 3, 東急目黒線,大岡山, 19, 東急東横線,自由が丘, 21
東急東横線 祐天寺駅 7階建 新築,東京都目黒区祐天寺２,0,7,41,25000,2LDK,51.8,41,41,https://img01.suumo.com/front/gazo/fr/bukken/152/100330565152/100330565152_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000083580988/?bc=100341772991,東急東横線,祐天寺, 2, 東京メトロ日比谷線,中目黒, 14, 東急東横線,学芸大学, 15
東急東横線 祐天寺駅 7階建 新築,東京都目黒区祐天寺２,0,7,50,30000,3LDK,67.89,50,50,https://img01.suumo.com/front/gazo/fr/bukken/152/100330565152/100330565152_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000082610542/?bc=100330565152,東急東横線,祐天寺, 2, 東京メトロ日比谷線,中目黒, 14, 東急東横線,学芸大学, 15
ザ・パークハビオSOHO祐天寺,東京都目黒区祐天寺２,0,7,41,25000,2LDK,51.8,41,41,https://img01.suumo.com/front/gazo/fr/bukken/870/100329467870/100329467870_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000083567094/?bc=100337333801,東急東横線,祐天寺, 2, 東京メトロ日比谷線,中目黒, 14, 東急東横線,学芸大学, 15
ザ・パークハビオSOHO祐天寺,東京都目黒区祐天寺２,0,7,50,30000,3LDK,67.89,50,50,https://img01.suumo.com/front/gazo/fr/bukken/870/100329467870/100329467870_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000082605859/?bc=100329467870,東急東横線,祐天寺, 2, 東京メトロ日比谷線,中目黒, 14, 東急東横線,学芸大学, 15
